64, 1, 172.501, 162.096, 563.459
64, 2, 128.086, 116.502, 388.013
64, 4, 110.07, 102.141, 296.658
64, 8, 101.261, 93.475, 250.362
64, 16, 95.0707, 88.8732, 228.521
64, 32, 92.5362, 86.0857, 217.861
64, 64, 91.027, 85.3313, 211.593
128, 1, 182.989, 179.248, 691.831
128, 2, 146.814, 138.451, 512.116
128, 4, 135.984, 128.918, 425.625
128, 8, 130.372, 122.2, 382.93
128, 16, 127.3, 121.643, 359.112
128, 32, 122.435, 118.677, 347.466
128, 64, 123.092, 118.88, 340.685
256, 1, 218.62, 204.658, 1003.12
256, 2, 176.835, 170.185, 801.593
256, 4, 156.956, 150.305, 700.147
256, 8, 146.756, 143.019, 651.149
256, 16, 138.03, 135.737, 624.572
256, 32, 135.112, 132.917, 612.212
256, 64, 134.09, 132.959, 605.038
512, 1, 302.268, 296.992, 1528.95
512, 2, 273.643, 260.746, 1328.12
512, 4, 257.085, 243.042, 1225.9
512, 8, 251.268, 231.416, 1180.91
512, 16, 247.656, 229.006, 1150.58
512, 32, 247.786, 227.188, 1138
512, 64, 242.094, 226.375, 1130.35
1024, 1, 379.461, 376.533, 2579.16
1024, 2, 360.248, 335.288, 2377.34
1024, 4, 341.024, 318.579, 2274.62
1024, 8, 345.258, 307.218, 2228.81
1024, 16, 340.594, 304.144, 2201.32
1024, 32, 328.866, 297.183, 2186.07
1024, 64, 322.437, 298.462, 2180.41
2048, 1, 520.033, 512.614, 4667.92
2048, 2, 449.776, 440.678, 4470.97
2048, 4, 412.902, 404.243, 4369.27
2048, 8, 394.166, 383.822, 4316.05
2048, 16, 387.142, 381.392, 4300.63
2048, 32, 380.063, 377.617, 4291.73
2048, 64, 381.33, 369.125, 4280.13
4096, 1, 906.202, 900.032, 8873.51
4096, 2, 754.697, 747.856, 8669.31
4096, 4, 673.315, 664.105, 8576.93
4096, 8, 632.82, 624.411, 8517.23
4096, 16, 616.036, 605.222, 8497.61
4096, 32, 607.681, 596.777, 8487.89
4096, 64, 601.971, 588.022, 8486.18
8192, 1, 1606.19, 1604.88, 17273.1
8192, 2, 1341.42, 1328.75, 17078.4
8192, 4, 1207.11, 1200.43, 16975.2
8192, 8, 1143.07, 1133.53, 16926.9
8192, 16, 1110.47, 1093.75, 16913.6
8192, 32, 1085.51, 1082.01, 16898.2
8192, 64, 1076.87, 1072.25, 16890.1
16384, 1, 3011.02, 3005.94, 34088.4
16384, 2, 2481.13, 2470.44, 33876.6
16384, 4, 2209.01, 2206.52, 33783.8
16384, 8, 2077.39, 2066.2, 33737.8
16384, 16, 2018.36, 2007.86, 33721
16384, 32, 1976.94, 1968.01, 33678.2
16384, 64, 1957.14, 1956.26, 33688.7
