workload,baseline,no persist ops,no check memory,no instrumentation
a,18540861299,17750182017,17705593685,17675850796
b,17424854662,16985351899,17189678990,17113743448
c,18318837537,17764463323,18128805426,18442255199
d,35807702041,34857718289,35095041698,35124273944
e,2017546820,2010570584,1977036244,1971079010
f,25087962830,24374307936,24401257258,24538421312
g,18234163016,17684123264,17433170749,17520389068
workload,baseline,no persist ops,no check memory,no instrumentation
a,18204713984,17821223900,17802128255,17838870839
b,17550448652,16862854615,17192769495,17232562029
c,18316138182,17713147545,17985070768,18138800159
d,35660695445,34512395397,35089490655,35126128032
e,2014479120,2017902534,1965380974,1982485738
f,25152953860,24337787507,24567789549,24514639804
g,18191047223,17726982157,17537560882,17526452365
workload,baseline,no persist ops,no check memory,no instrumentation
a,18196142917,17806170817,17783769922,17787141025
b,17498445438,16875329550,17209076929,17210353482
c,18254227304,17812126228,17979150237,18148179090
d,35906628527,34628158366,35214452387,35207116648
e,2027720675,2008459330,1959291529,1974266622
f,25147616384,24296672351,24536058873,24502803582
g,18172169015,17776555442,17526787508,17385634384
workload,baseline,no persist ops,no check memory,no instrumentation
a,18270875417,17894937185,17741992041,17740997744
b,17449103178,17044617744,17152633972,17304401609
c,18371648985,17737035979,17984666732,18033082038
d,35769967222,34703449614,35122553064,35197486687
e,2015510455,1991532937,1961660450,1970691278
f,25163903062,24140205945,24375207321,24370644356
g,18126461150,17694466322,17463392107,17416070162
workload,baseline,no persist ops,no check memory,no instrumentation
a,18153756331,17810549842,17775690949,17809703380
b,17336642790,16877523942,17191765627,17218733163
c,18360459320,17838274928,18075200175,18087494248
d,35898761615,34708512638,35112827858,35023394929
e,2020033293,1999199953,1970657150,1968374771
f,25049090694,24201701502,24429930554,24490462005
g,18191895031,17750418173,17367881779,17498287045
