1, 86234981
2, 106361760
3, 122086595
4, 132785095
5, 146280144
6, 151513035
7, 161773078
8, 175301030
9, 189624372
10, 196258439
11, 209580494
12, 222798028
13, 237149172
14, 258214673
15, 261614114
16, 275898574
17, 286368611
18, 298657323
19, 316221117
20, 323038803
21, 335406343
22, 350923612
23, 363917005
24, 377755193
25, 392405217
26, 399817358
27, 411765315
28, 425101474
29, 436679826
30, 448844497
31, 453888799
32, 471758983
33, 478383792
34, 490568940
35, 502792500
36, 512763272
37, 524190640
38, 603888114
39, 546151729
