1, 0.054us, 1, 0us, 60us, 114us, 0us, 0us, 0us, 0us, 0, 0, 0.093us, 1
2, 0.060us, 1, 0us, 41us, 54us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
4, 0.059us, 1, 0us, 39us, 51us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
8, 0.060us, 1, 0us, 38us, 50us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
16, 0.052us, 1, 0us, 38us, 51us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
32, 0.052us, 1, 0us, 41us, 55us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
64, 0.052us, 1, 0us, 40us, 53us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
128, 0.052us, 1, 0us, 42us, 55us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
256, 0.053us, 1, 0us, 95us, 110us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
512, 0.052us, 1, 0us, 40us, 52us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
1024, 0.053us, 1, 0us, 90us, 105us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
2048, 0.060us, 1, 0us, 39us, 53us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
4096, 0.061us, 1, 0us, 92us, 107us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
8192, 0.054us, 2, 0us, 59us, 69us, 0us, 0us, 0us, 0us, 0, 0, 0.098us, 2
16384, 0.058us, 4, 0us, 72us, 79us, 0us, 0us, 0us, 0us, 0, 0, 0.095us, 4
32768, 0.064us, 8, 0us, 65us, 70us, 0us, 0us, 0us, 0us, 0, 0, 0.098us, 6
65536, 0.077us, 16, 0us, 59us, 65us, 0us, 0us, 0us, 0us, 0, 0, 0.101us, 9
131072, 0.105us, 32, 0us, 62us, 69us, 0us, 0us, 0us, 0us, 0, 0, 0.114us, 18
262144, 0.152us, 64, 0us, 58us, 65us, 0us, 0us, 0us, 0us, 0, 0, 0.123us, 34
524288, 0.235us, 128, 0us, 52us, 59us, 0us, 0us, 0us, 0us, 0, 0, 0.159us, 66
1048576, 0.432us, 256, 0us, 58us, 64us, 0us, 0us, 0us, 0us, 0, 0, 0.224us, 124
2097152, 0.803us, 512, 0us, 61us, 66us, 0us, 0us, 0us, 0us, 0, 0, 0.401us, 239
4194304, 1.588us, 1024, 0us, 65us, 68us, 0us, 0us, 0us, 0us, 0, 0, 0.734us, 454
8388608, 3.289us, 2048, 0us, 69us, 72us, 0us, 0us, 0us, 0us, 0, 0, 1.421us, 850
16777216, 6.940us, 4096, 0us, 75us, 78us, 0us, 0us, 0us, 0us, 0, 0, 2.676us, 1592
33554432, 13.993us, 8169, 0us, 77us, 80us, 0us, 0us, 0us, 0us, 0, 0, 5.072us, 2946
67108864, 26.908us, 15612, 0us, 77us, 80us, 0us, 0us, 0us, 0us, 0, 0, 9.234us, 5387
134217728, 44.369us, 25611, 0us, 78us, 81us, 0us, 0us, 0us, 0us, 0, 0, 16.657us, 9507
268435456, 61.841us, 34996, 379us, 79us, 82us, 7us, 3us, 0us, 0us, 3405, 3405, 28.238us, 16226
536870912, 74.441us, 41927, 0us, 78us, 82us, 6us, 3us, 0us, 0us, 3405, 3405, 43.779us, 25078
