2048, 0.038us, 1, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.138us, 1
4096, 0.038us, 1, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.138us, 1
8192, 0.039us, 2, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.138us, 2
16384, 0.040us, 4, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.140us, 4
32768, 0.043us, 8, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.139us, 5
65536, 0.047us, 16, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.143us, 9
131072, 0.057us, 32, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.147us, 17
262144, 0.075us, 64, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.159us, 37
524288, 0.111us, 128, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.174us, 63
1048576, 0.185us, 256, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.207us, 120
2097152, 0.318us, 512, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.275us, 237
4194304, 0.522us, 1024, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.352us, 462
8388608, 0.819us, 2048, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.522us, 845
16777216, 1.359us, 4095, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 0.764us, 1582
33554432, 2.400us, 8170, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 1.077us, 2967
67108864, 4.218us, 15553, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 1.723us, 5362
134217728, 6.738us, 25647, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 0, 0, 2.780us, 9600
268435456, 9.454us, 35013, 59us, 0us, 0us, 0us, 0us, 0us, 0us, 460, 460, 4.419us, 16234
536870912, 12.451us, 42006, 53us, 0us, 0us, 0us, 0us, 0us, 0us, 479, 493, 6.679us, 25142
1073741824, 14.280us, 45911, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 493, 493, 9.208us, 34161
2147483648, 15.257us, 47972, 0us, 0us, 0us, 0us, 0us, 0us, 0us, 493, 493, 12.256us, 41182
